idx,true,pred,p_inf,p_spor,pred_prob,true_prob
42,1,0,0.04302978515625,0.0006361007690429688,,
109,1,0,0.1048583984375,4.291534423828125e-06,,
188,1,0,0.09124755859375,0.006824493408203125,,
203,1,2,1.0,0.5703125,,
262,1,2,1.0,0.51953125,,
381,1,2,1.0,0.90087890625,,
626,1,0,0.005279541015625,4.172325134277344e-07,,
647,0,1,0.99951171875,0.0,,
707,1,0,0.1121826171875,1.8477439880371094e-05,,
714,1,0,0.005344390869140625,0.00885009765625,,
781,2,1,1.0,0.41552734375,,
860,1,0,0.08538818359375,1.0967254638671875e-05,,
950,1,2,1.0,0.79248046875,,
990,1,0,0.295166015625,6.300210952758789e-05,,
1033,1,2,1.0,0.890625,,
1052,2,0,0.02203369140625,0.99365234375,,
1126,1,0,0.00455474853515625,4.9114227294921875e-05,,
1263,1,0,0.1873779296875,0.8271484375,,
1415,1,0,0.03839111328125,1.3709068298339844e-06,,
1422,2,1,1.0,0.1494140625,,
1458,1,0,0.0099334716796875,3.272294998168945e-05,,
1475,0,1,0.9951171875,5.245208740234375e-06,,
1629,2,1,1.0,0.124755859375,,
1689,1,0,0.07501220703125,0.042083740234375,,
1752,1,0,0.0253753662109375,0.0006022453308105469,,
1787,1,0,0.0011920928955078125,0.0014162063598632812,,
1843,1,0,0.0604248046875,7.486343383789062e-05,,
1897,1,2,1.0,0.88232421875,,
1989,1,2,1.0,0.9970703125,,
2055,0,1,0.99365234375,0.0,,
2308,1,0,0.265625,5.435943603515625e-05,,
2411,1,2,1.0,0.52783203125,,
2445,2,1,1.0,0.486083984375,,
2500,2,1,1.0,0.2091064453125,,
2629,1,0,0.070068359375,0.92626953125,,
2852,1,0,0.296142578125,1.1920928955078125e-06,,
3107,2,1,1.0,0.049957275390625,,
3280,2,1,1.0,0.0099334716796875,,
3389,1,0,7.903575897216797e-05,0.0009002685546875,,
3395,2,0,0.2015380859375,0.84619140625,,
3397,1,2,0.98974609375,0.68505859375,,
3508,1,0,0.0640869140625,1.1324882507324219e-06,,
3568,2,1,1.0,0.324462890625,,
3585,1,0,0.230224609375,3.8504600524902344e-05,,
3639,1,0,0.01467132568359375,2.384185791015625e-07,,
3645,1,0,0.271484375,9.059906005859375e-06,,
3699,1,0,0.08343505859375,0.0007734298706054688,,
3706,0,1,0.99365234375,0.0,,
3761,1,2,0.98486328125,0.5615234375,,
3837,1,0,0.1019287109375,1.7285346984863281e-06,,
3889,0,1,0.99560546875,0.013427734375,,
3956,1,2,1.0,0.98779296875,,
3968,1,0,0.0020351409912109375,0.005260467529296875,,
4096,1,2,0.96142578125,0.7861328125,,
4206,1,0,0.2734375,3.516674041748047e-06,,
4311,1,0,0.011199951171875,1.3947486877441406e-05,,
4391,1,0,0.0005679130554199219,0.004886627197265625,,
4411,1,0,0.00014197826385498047,0.041229248046875,,
4536,1,2,1.0,0.90478515625,,
4581,2,1,1.0,0.37890625,,
4601,1,0,0.009521484375,1.8358230590820312e-05,,
4606,2,0,0.0011034011840820312,0.955078125,,
4733,2,1,1.0,0.1915283203125,,
4919,0,1,0.9697265625,2.9206275939941406e-06,,
4965,1,2,1.0,0.7421875,,
5014,1,2,0.9990234375,0.517578125,,
5086,1,0,0.266845703125,8.028745651245117e-05,,
5136,1,2,1.0,0.94677734375,,
5165,1,0,0.141357421875,7.152557373046875e-07,,
5177,1,0,0.061431884765625,3.534555435180664e-05,,
5181,2,1,1.0,0.355224609375,,
5187,1,2,1.0,0.93505859375,,
5347,1,0,0.046722412109375,0.0006361007690429688,,
5440,1,0,0.044769287109375,0.002208709716796875,,
5476,1,2,1.0,0.87841796875,,
5500,1,0,0.020172119140625,7.748603820800781e-07,,
5535,2,1,1.0,0.250244140625,,
5704,2,0,0.005664825439453125,0.9951171875,,
5731,1,2,1.0,0.6806640625,,
5744,1,0,0.1409912109375,2.86102294921875e-06,,
5782,2,1,1.0,0.287109375,,
5887,1,2,1.0,0.666015625,,
5893,0,1,0.98388671875,0.3203125,,
5940,1,0,0.0004954338073730469,4.57763671875e-05,,
5969,1,0,0.01056671142578125,4.470348358154297e-05,,
5972,0,1,0.9970703125,2.980232238769531e-07,,
6076,2,1,1.0,0.3310546875,,
