filename,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
001-W2021006-099_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,371868,34055827,45413508,1.0919,0.8188,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\001-W2021006-099_R2_leaf_pred.png
003-W2021006-150_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,217353,32742372,45413508,0.6638,0.4786,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\003-W2021006-150_R1_leaf_pred.png
004-NUGGET_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3457014,36477872,45413508,9.477,7.6123,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\004-NUGGET_R2_leaf_pred.png
012-W2021011-458_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,304351,35104688,45413508,0.867,0.6702,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\012-W2021011-458_R2_leaf_pred.png
013-W2021009-172_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,160361,35002052,45413508,0.4581,0.3531,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\013-W2021009-172_R1_leaf_pred.png
013-W2021011-633_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2795837,37826325,45413508,7.3912,6.1564,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\013-W2021011-633_R2_leaf_pred.png
015-W2021010-355_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,200398,32164700,45413508,0.623,0.4413,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\015-W2021010-355_R2_leaf_pred.png
017-W2021010-405_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,813117,36630839,45413508,2.2198,1.7905,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\017-W2021010-405_R2_leaf_pred.png
018-W2021010-405_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3747140,38540158,45413508,9.7227,8.2512,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\018-W2021010-405_R1_leaf_pred.png
018-W2021010-405_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,707242,35159591,45413508,2.0115,1.5573,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\018-W2021010-405_R2_leaf_pred.png
