"","filename","Human_Rater1","Human_Rater2","Human_Rater3","Human_Rater4","Human_Rater5","Mean_Human_Rating","Median_Human_Rating","sd_human_severity","n_humans","J26-severity_rate_patch","J26-GradCAM_union_sr","J26-Gradient-SG_union_sr","J26-DeepLift_union_sr","DeepLab-Feb04_00-32-07_2026","J26_05_fixed_Gradient-SG_sr2","J26_05_fixed_GradCAM_sr2","J26_05_fixed_DeepLift_sr2"
"1","001-W2021006-099_R2_10dpi",0,0,0,0,0,0,0,0,5,1.88,0.28,0.15,0.15,1.0919,0.14,0.53,0.09
"2","002-W2021006-081_R1_5dpi",0,0,0,0,0,0,0,0,5,0.46,0.13,0.22,0.18,1.8768,0.03,0.08,0.02
"3","002-W2021010-336_R2_5dpi",4,0,1,0,0,1,0,1.73205080756888,5,2.38,0.35,0.18,0.11,1.3131,0.16,0.65,0.07
"4","003-W2021006-150_R1_10dpi",0,2,0,0,0,0.4,0,0.894427190999916,5,0.32,0.03,0.02,0.02,0.6638,0.02,0.06,0.01
"5","004-NUGGET_R2_10dpi",50,40,55,30,35,42,40,10.3682206766639,5,37.63,15.23,23.08,13.33,9.477,3.5,10.42,1.84
"6","005-W2021011-592_R2_5dpi",0,0,1,0,1,0.4,0,0.547722557505166,5,0.56,0.09,0.05,0.04,1.6697,0.05,0.17,0.03
"7","009-W2021010-311_R2_5dpi",65,15,18,12,30,28,18,21.783020910792,5,22.93,3.42,1.95,1.49,1.8581,1.53,6.17,0.85
"8","010-W2021010-347_R2_5dpi",38,35,25,30.05,40,33.61,35,6.10004098346888,5,22.51,3.94,3.45,2.44,2.6364,1.57,6.09,1
"9","012-W2021011-458_R2_10dpi",0,0,0,0,0,0,0,0,5,0.44,0.1,0.04,0.1,0.867,0.02,0.11,0.02
"10","013-W2021009-172_R1_10dpi",5,4,7,0,8,4.8,5,3.11448230047949,5,2.25,0.41,0.61,0.42,0.4581,0.17,0.61,0.11
"11","013-W2021009-172_R2_5dpi",0,0,0,0,0,0,0,0,5,0.15,0.04,0.01,0.01,0.2919,0.01,0.05,0.01
"12","013-W2021011-633_R2_10dpi",25,35,40,30,50,36,35,9.61769203083567,5,28.04,8.8,11.91,7.45,7.3912,2.38,7.32,1.32
"13","015-W2021009-160_R1_5dpi",13,8,15,0,35,14.2,13,12.9884564132925,5,20.04,2.76,1.39,1.11,1.4218,1.21,5.19,0.7
"14","015-W2021010-355_R2_10dpi",0,2,4,0,25,6.2,2,10.6395488626163,5,3.02,0.4,0.2,0.18,0.623,0.19,0.69,0.11
"15","015-W2021011-633_R1_5dpi",23,15,18,0,20,15.2,18,8.98331787259028,5,14.08,2.26,1.17,0.98,2.9106,1.11,4.22,0.62
"16","017-W2021006-612_R2_5dpi",40,30,30,20,55,35,30,13.228756555323,5,28.87,4.41,2.28,2.13,2.6632,2.14,8.25,1.31
"17","017-W2021010-405_R2_10dpi",0,0,0,0,0,0,0,0,5,0.14,0.07,0.11,0.1,2.2198,0.01,0.05,0.01
"18","018-W2021010-405_R1_10dpi",0,0,0,0,0,0,0,0,5,3.65,0.54,0.34,0.3,9.7227,0.26,0.9,0.16
"19","018-W2021010-405_R2_10dpi",0,0,0,0,0,0,0,0,5,0,0,0,0,2.0115,0,0,0
"20","019-W2021010-428_R2_5dpi",0,0,0,0,1,0.2,0,0.447213595499958,5,0,0,0,0,2.1198,0,0,0
"21","021-W2021009-175_R1_5dpi",7,6,4,0,3,4,4,2.73861278752583,5,1.3,0.22,0.19,0.1,0.5319,0.11,0.4,0.05
"22","022-W2021009-198_R2_5dpi",5,0,1,0,1,1.4,1,2.07364413533277,5,6.6,1.01,0.56,0.44,1.6686,0.53,2.08,0.27
"23","023-W2021006-049_R1_5dpi",25,20,10,15,7,15.4,15,7.30068489937759,5,16.97,2.33,1.1,0.95,1.542,1.03,4.43,0.59
"24","023-W2021010-305_R2_5dpi",5,2,1,0,4,2.4,2,2.07364413533277,5,5.71,0.74,0.37,0.35,1.2349,0.35,1.31,0.22
