"","model","rater","n","CCC","cor","MAE","RMSE","bias"
"1","J26-severity_rate_patch","Human_Rater1",200,0.928235843558537,0.928991638821478,7.1275,11.8328734464626,1.2581
"2","J26-severity_rate_patch","Human_Rater2",200,0.927430593138501,0.939204139986628,6.9216,11.3912858800049,3.7581
"3","J26-severity_rate_patch","Human_Rater3",200,0.938548559721996,0.939194050256843,6.8342,10.8455379765137,-1.0219
"4","J26-severity_rate_patch","Human_Rater4",200,0.810749014570139,0.834840159935111,10.6101,19.2853409096132,7.5076
"5","J26-severity_rate_patch","Human_Rater5",200,0.930567143520387,0.959911592433188,8.3371,12.6508930119577,-6.9969
"6","J26-severity_rate_patch","Mean_Human_Rating",200,0.967816958359899,0.969261268676705,4.4541,7.73845889050268,0.901
"7","J26-severity_rate_patch","Median_Human_Rating",200,0.968600134645818,0.969332151981503,4.6947,7.77618119644855,1.1581
"8","J26-GradCAM_union_sr","Human_Rater1",200,0.4161736595076,0.798310649501325,18.4039,29.1809519721342,-18.2682
"9","J26-GradCAM_union_sr","Human_Rater2",200,0.512737994477851,0.891896688680455,15.8335,24.15998878311,-15.7682
"10","J26-GradCAM_union_sr","Human_Rater3",200,0.40536670719646,0.820794280527946,20.6236,29.9711053850204,-20.5482
"11","J26-GradCAM_union_sr","Human_Rater4",200,0.518893977519596,0.856459279305206,13.9682,24.3127166931217,-12.0187
"12","J26-GradCAM_union_sr","Human_Rater5",200,0.335396602324458,0.821558181926612,26.6423,37.6675411727392,-26.5232
"13","J26-GradCAM_union_sr","Mean_Human_Rating",200,0.461193885569576,0.879628546640559,18.6776,27.2891821240579,-18.6253
"14","J26-GradCAM_union_sr","Median_Human_Rating",200,0.450139155471151,0.861925324053591,18.475,28.1109490768277,-18.3682
"15","J26-Gradient-SG_union_sr","Human_Rater1",200,0.508290212831474,0.720438236815157,16.6925,27.6798658956289,-16.4937
"16","J26-Gradient-SG_union_sr","Human_Rater2",200,0.645945915634956,0.84754575301033,14.0495,21.5071238430433,-13.9937
