"","filename","identifier","model_type","classes","severity_rate_patch"
"1","001-W2021006-099_R2_10dpi","MW","human","3","0"
"2","001-W2021006-099_R2_10dpi","BR","human","3","0"
"3","001-W2021006-099_R2_10dpi","CC","human","3","0"
"4","001-W2021006-099_R2_10dpi","DG","human","3","0"
"5","001-W2021006-099_R2_10dpi","Aug31_03-06-57_2023_up0.8_dwn0.2_salth0.7","computer_vision","3","4.26"
"6","001-W2021006-099_R2_10dpi","May10_16-42-59_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","6.21"
"7","001-W2021006-099_R2_10dpi","May11_00-29-56_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","13.99"
"8","001-W2021006-099_R2_10dpi","Jan25_15-51-04_2024_up0.8_dwn0.2_salth0.7","computer_vision","3","1.07"
"9","001-W2021006-099_R2_10dpi","Jan29_16-28-38_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","2.04"
"10","001-W2021006-099_R2_10dpi","TB","human","3","0"
"11","001-W2021006-099_R2_10dpi","NW","human","3","0"
"12","001-W2021006-099_R2_10dpi","Feb01_00-00-41_2024_up0.8_dwn0.3_salth0.7","computer_vision","3","0.15"
"13","001-W2021006-099_R2_10dpi","Feb01_00-00-41_2024_up0.7_dwn0.3_salth0.7","computer_vision","3","0.46"
"14","001-W2021006-099_R2_10dpi","Feb03_04-58-39_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","0.47"
"15","002-W2021006-081_R1_5dpi","TB","human","3","0"
"16","002-W2021006-081_R1_5dpi","MW","human","3","0"
"17","002-W2021006-081_R1_5dpi","BR","human","3","0"
"18","002-W2021006-081_R1_5dpi","CC","human","3","0"
"19","002-W2021006-081_R1_5dpi","DG","human","3","0"
"20","002-W2021006-081_R1_5dpi","Aug31_03-06-57_2023_up0.8_dwn0.2_salth0.7","computer_vision","3","0.15"
"21","002-W2021006-081_R1_5dpi","May10_16-42-59_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","14.03"
"22","002-W2021006-081_R1_5dpi","May11_00-29-56_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","13"
"23","002-W2021006-081_R1_5dpi","Jan25_15-51-04_2024_up0.8_dwn0.2_salth0.7","computer_vision","3","0.51"
"24","002-W2021006-081_R1_5dpi","Jan29_16-28-38_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","0.61"
"25","002-W2021006-081_R1_5dpi","NW","human","3","0"
"26","002-W2021006-081_R1_5dpi","Feb01_00-00-41_2024_up0.8_dwn0.3_salth0.7","computer_vision","3","0"
"27","002-W2021006-081_R1_5dpi","Feb01_00-00-41_2024_up0.7_dwn0.3_salth0.7","computer_vision","3","0"
"28","002-W2021006-081_R1_5dpi","Feb03_04-58-39_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","0.46"
"29","002-W2021010-336_R2_5dpi","TB","human","3","0"
"30","002-W2021010-336_R2_5dpi","MW","human","3","1"
"31","002-W2021010-336_R2_5dpi","BR","human","3","4"
"32","002-W2021010-336_R2_5dpi","CC","human","3","0"
"33","002-W2021010-336_R2_5dpi","DG","human","3","1"
"34","002-W2021010-336_R2_5dpi","Aug31_03-06-57_2023_up0.8_dwn0.2_salth0.7","computer_vision","3","20.18"
"35","002-W2021010-336_R2_5dpi","May10_16-42-59_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","3.14"
"36","002-W2021010-336_R2_5dpi","May11_00-29-56_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","4.43"
"37","002-W2021010-336_R2_5dpi","Jan25_15-51-04_2024_up0.8_dwn0.2_salth0.7","computer_vision","3","9.2"
"38","002-W2021010-336_R2_5dpi","Jan29_16-28-38_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","2.14"
"39","002-W2021010-336_R2_5dpi","NW","human","3","0"
"40","002-W2021010-336_R2_5dpi","Feb01_00-00-41_2024_up0.8_dwn0.3_salth0.7","computer_vision","3","11.74"
"41","002-W2021010-336_R2_5dpi","Feb01_00-00-41_2024_up0.7_dwn0.3_salth0.7","computer_vision","3","18.61"
"42","002-W2021010-336_R2_5dpi","Feb03_04-58-39_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","0.34"
"43","003-W2021006-150_R1_10dpi","MW","human","3","0"
"44","003-W2021006-150_R1_10dpi","BR","human","3","0"
"45","003-W2021006-150_R1_10dpi","CC","human","3","2"
"46","003-W2021006-150_R1_10dpi","DG","human","3","0"
"47","003-W2021006-150_R1_10dpi","Aug31_03-06-57_2023_up0.8_dwn0.2_salth0.7","computer_vision","3","0.69"
"48","003-W2021006-150_R1_10dpi","May10_16-42-59_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","8.68"
"49","003-W2021006-150_R1_10dpi","May11_00-29-56_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","16.64"
"50","003-W2021006-150_R1_10dpi","Jan25_15-51-04_2024_up0.8_dwn0.2_salth0.7","computer_vision","3","0.15"
"51","003-W2021006-150_R1_10dpi","Jan29_16-28-38_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","0.64"
"52","003-W2021006-150_R1_10dpi","TB","human","3","0"
"53","003-W2021006-150_R1_10dpi","NW","human","3","0"
"54","003-W2021006-150_R1_10dpi","Feb01_00-00-41_2024_up0.8_dwn0.3_salth0.7","computer_vision","3","0.49"
"55","003-W2021006-150_R1_10dpi","Feb01_00-00-41_2024_up0.7_dwn0.3_salth0.7","computer_vision","3","0.65"
"56","003-W2021006-150_R1_10dpi","Feb03_04-58-39_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","0.66"
"57","004-NUGGET_R2_10dpi","MW","human","3","55"
"58","004-NUGGET_R2_10dpi","BR","human","3","50"
"59","004-NUGGET_R2_10dpi","CC","human","3","40"
"60","004-NUGGET_R2_10dpi","DG","human","3","9"
"61","004-NUGGET_R2_10dpi","Aug31_03-06-57_2023_up0.8_dwn0.2_salth0.7","computer_vision","3","24.92"
"62","004-NUGGET_R2_10dpi","May10_16-42-59_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","12.95"
"63","004-NUGGET_R2_10dpi","May11_00-29-56_2021_up0.8_dwn0.2_salth0.7","computer_vision","2","16.49"
"64","004-NUGGET_R2_10dpi","Jan25_15-51-04_2024_up0.8_dwn0.2_salth0.7","computer_vision","3","30.45"
"65","004-NUGGET_R2_10dpi","Jan29_16-28-38_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","36.21"
"66","004-NUGGET_R2_10dpi","TB","human","3","35"
"67","004-NUGGET_R2_10dpi","NW","human","3","30"
"68","004-NUGGET_R2_10dpi","Feb01_00-00-41_2024_up0.8_dwn0.3_salth0.7","computer_vision","3","31.18"
"69","004-NUGGET_R2_10dpi","Feb01_00-00-41_2024_up0.7_dwn0.3_salth0.7","computer_vision","3","33.59"
"70","004-NUGGET_R2_10dpi","Feb03_04-58-39_2024_up0.8_dwn0.3_salth0.7","computer_vision","2","40"
"71","005-W2021011-592_R2_5dpi","TB","human","3","1"
"72","005-W2021011-592_R2_5dpi","MW","human","3","1"
"73","005-W2021011-592_R2_5dpi","BR","human","3","0"
