filename,Jan26_23-15-35_2026_up0.95_dwn0.3_infg0.3_spth0.5_salth0.5_computer_vision,Jan29_22-02-46_2026_up0.55_dwn0.15_infg0.3_spth0.65_salth0.5_computer_vision,BR_human,CC_human,DG_human,MW_human,NW_human,TB_human
001-W2021006-099_R2_10dpi,1.88,1.87,0,0,0,0,0,0
002-W2021006-081_R1_5dpi,0.46,0.45,0,0,0,0,0,0
002-W2021010-336_R2_5dpi,2.38,5.44,4,0,1,1,0,0
003-W2021006-150_R1_10dpi,0.32,0.81,0,2,0,0,0,0
004-NUGGET_R2_10dpi,37.63,39,50,40,9,55,30,35
005-W2021011-592_R2_5dpi,0.56,0.7,0,0,0,1,0,1
009-W2021010-311_R2_5dpi,22.93,23.11,65,15,3,18,12,30
010-W2021010-347_R2_5dpi,22.51,25.32,38,35,5,25,30.05,40
012-W2021011-458_R2_10dpi,0.44,0.15,0,0,0,0,0,0
013-W2021009-172_R1_10dpi,2.25,3.36,5,4,2,7,0,8
013-W2021009-172_R2_5dpi,0.15,0.59,0,0,0,0,0,0
013-W2021011-633_R2_10dpi,28.04,26.99,25,35,5,40,30,50
015-W2021009-160_R1_5dpi,20.04,24.71,13,8,1,15,0,35
015-W2021010-355_R2_10dpi,3.02,4.71,0,2,0,4,0,25
015-W2021011-633_R1_5dpi,14.08,16.69,23,15,5,18,0,20
017-W2021006-612_R2_5dpi,28.87,28.26,40,30,5,30,20,55
017-W2021010-405_R2_10dpi,0.14,0.58,0,0,0,0,0,0
018-W2021010-405_R1_10dpi,3.65,7.63,0,0,0,0,0,0
018-W2021010-405_R2_10dpi,0,0.15,0,0,0,0,0,0
019-W2021010-428_R2_5dpi,0,0,0,0,0,0,0,1
021-W2021009-175_R1_5dpi,1.3,1.59,7,6,2,4,0,3
022-W2021009-198_R2_5dpi,6.6,9.61,5,0,0,1,0,1
023-W2021006-049_R1_5dpi,16.97,15.81,25,20,4,10,15,7
023-W2021010-305_R2_5dpi,5.71,5.34,5,2,1,1,0,4
025-W2021009-622_R1_10dpi,84.46,85.99,75,80,60,85,95,90
026-W2021009-622_R2_5dpi,18.93,19.91,25,8,4,31,10,15
026-W2021010-346_R2_10dpi,0,0,0,0,0,0,0,5
027-W2021009-622_R2_10dpi,60.31,64.1,50,40,15,80,50,80
028-W2021010-354_R2_10dpi,21.49,24.02,10,35,5,15,20,40
029-W2021010-354_R1_10dpi,60.85,66.72,40,60,18,45,35,80
032-W2021006-041_R2_5dpi,6.7,8.32,10,4,3,11,0,3
032-W2021009-155_R1_5dpi,85.3,86.13,90,67,30,77,80,90
036-W2021006-047_R2_5dpi,0.45,0.45,0,0,0,0,0,1
037-W2021009-198_R2_10dpi,0.15,0.31,0,0,0,0,0,0
037-W2021009-277_R1_10dpi,88.16,89.11,60,85,40,80,85,100
040-W2021009-207_R1_5dpi,18.44,23.18,25,6,3,8,0,10
042-W2021006-015_R1_10dpi,17.5,18.05,20,8,3,37,5,45
042-W2021010-429_R1_5dpi,45.47,49.77,80,25,10,57,30,75
044-W2021009-169_R2_5dpi,0.15,0.3,0,0,0,0,0,0
044-W2021009-618_R1_5dpi,14.35,15.49,15,8,2,13,0,15
046-W2021009-208_R2_10dpi,3.2,4.66,5,8,3,6,8,16
047-W2021011-482_R1_5dpi,31.62,32.84,20,20,12,40,40,40
048-W2021006-147_R1_5dpi,4.02,5.74,10,3,3,10,0,8
049-W2021011-583_R1_10dpi,27.88,31.52,15,50,8,20,0,55
051-W2021010-443_R1_10dpi,0,0.14,0,0,0,0,0,0
051-W2021011-583_R1_10dpi,85.12,86.77,65,85,45,85,95,90
051-W2021011-583_R2_10dpi,31.94,33.24,28,50,10,29,30,45
052-W2021006-004_R2_5dpi,0,0.99,0,0,0,0,0,0
055-W2021010-341_R2_5dpi,1.09,1.77,0,1,0,0,0,2
055-W2021010-397_R2_5dpi,4.97,5.66,0,2,0,8,0,4
056-W2021006-609_R1_5dpi,9.31,13.6,30,15,4,15,5,30
057-W2021011-504_R2_10dpi,1.59,1.87,0,0,0,0,0,0
059-W2021010-434_R1_5dpi,0.58,0.42,0,0,0,0,0,0
060-W2021010-324_R2_5dpi,0.3,1.07,0,0,0,1,0,0
061-W2021011-483_R1_10dpi,8.06,12.01,1,4,1,2,0,0
061-W2021011-483_R1_5dpi,3.19,6.37,10,2,0,1,0,15
062-W2021010-432_R2_10dpi,53.08,65.27,50,40,30,50,40,81
062-W2021011-483_R2_10dpi,56.55,60,45,40,30,45,40,70
063-W2021011-594_R1_10dpi,51.93,55.09,40,60,20,60,25,70
068-W2021011-574_R2_10dpi,38.88,42.23,15,40,15,27,20,45
069-W2021011-574_R1_10dpi,11.13,12.31,7,18,4,15,10,21
070-W2021011-486_R2_5dpi,35.5,42.83,88,50,20,67,75,60
071-W2021006-142_R1_10dpi,54.32,56.28,75,80,60,45,40,85
071-W2021010-323_R1_5dpi,61.58,62.17,73,60,40,72,60.05,70
077-W2021010-351_R2_5dpi,0.16,0.46,0,0,0,0,0,1
080-W2021011-586_R2_10dpi,93.7,94.65,85,90,85,85,85,98
084-W2021010-319_R1_5dpi,1.71,0.48,0,0,0,0,0,0
085-W2021010-630_R1_5dpi,0,0,0,0,0,0,0,0
088-W2021009-288_R2_10dpi,90.67,89.35,90,90,90,95,85,100
091-W2021006-056_R2_5dpi,1.12,1.58,5,0,0,5,0,0
091-W2021010-394_R2_10dpi,0.67,0.67,0,0,0,0,0,0
092-W2021010-394_R1_10dpi,14.26,19.79,0,2,0,0,0,0
094-W2021010-315_R2_5dpi,0.15,0.15,0,0,0,0,0,1
095-W2021009-283_R1_10dpi,2.66,5.71,0,0,0,0,0,0
095-W2021011-553_R2_5dpi,0.67,1.52,0,1,0,1,0,0
097-W2021006-126_R2_10dpi,85.42,86.37,80,85,65,75,85,93
097-W2021006-611_R1_10dpi,98.38,99.46,100,98,90,100,100,100
097-W2021006-617_R2_5dpi,20.81,22.12,60,15,8,26,20,65
097-W2021009-163_R1_5dpi,55.71,58.58,85,25,4,31,0,50
098-W2021006-126_R1_10dpi,81.46,83.09,45,60,45,60,55,95
099-W2021006-611_R2_10dpi,30.38,32.62,25,25,8,20,20,70
099-W2021006-611_R2_5dpi,20.24,24.6,50,16,8,19,0,40
101-W2021011-565_R1_5dpi,76.26,79.8,90,60,30,80,0,88
102-W2021011-565_R2_10dpi,92.85,94.25,70,80,60,75,90,96
103-W2021011-591_R2_10dpi,47.17,48.66,35,50,30,35,55,50
105-W2021010-625_R1_10dpi,69.58,77.39,30,70,50,60,25,85
105-W2021011-558_R1_5dpi,0.16,0.48,0,0,0,3,0,0
108-W2021011-550_R2_10dpi,12.24,14.95,8,30,9,11,15,29
109-W2021006-102_R2_10dpi,94.62,94.9,90,90,85,90,85,100
110-W2021011-454_R2_5dpi,7.6,9.59,5,12,2,15,0,12
111-W2021011-588_R2_5dpi,4.14,5.38,5,3,1,6,0,5
112-W2021006-046_R1_10dpi,1.21,3.7,0,3,0,1,15,4
112-W2021011-554_R1_10dpi,12.48,13.54,10,25,6,5,15,25
115-W2021011-638_R1_10dpi,53.9,59.21,40,80,9,70,35,85
116-W2021011-504_R2_10dpi,0.96,2.5,0,0,0,0,0,0
117-W2021011-504_R1_10dpi,1.9,2.42,0,5,0,0,0,0
119-W2021009-171_R2_10dpi,30.15,35.73,8,7,0,5,0,20
119-W2021009-299_R2_10dpi,69.89,73.84,80,70,50,50,10,80
121-W2021009-185_R1_5dpi,1.01,4.42,0,1,0,7,0,4
122-W2021009-267_R2_10dpi,2.31,2.68,2,3,2,2,0,0
123-W2021009-255_R2_5dpi,4.78,8.29,5,4,1,4,0,2
123-W2021009-621_R2_5dpi,4.88,6.62,5,8,0,5,0,7
124-W2021009-278_R1_10dpi,43.12,43.43,50,40,15,40,35,60
126-W2021009-278_R2_10dpi,43.15,44.31,35,40,30,45,25,50
127-W2021006-143_R2_5dpi,0.46,0.31,0,0,1,3,0,1
127-W2021009-292_R2_5dpi,78.31,81.27,80,55,50,73,80,86
128-W2021006-013_R1_5dpi,66.96,66.32,75,15,8,50,0,70
129-W2021006-119_R2_5dpi,6.11,5.52,0,2,2,11,0,8
131-W2021009-252_R2_10dpi,6,7.72,5,5,3,5,0,10
132-W2021009-252_R1_10dpi,0.76,1.23,0,0,0,2,0,0
132-W2021010-399_R1_5dpi,0.16,0.47,0,0,0,1,0,1
132-W2021011-644_R2_5dpi,10.01,10.76,10,8,2,22,0,15
134-W2021006-001_R1_5dpi,42.05,41.45,26,12,6,60,30,45
134-W2021009-275_R1_5dpi,17.26,22.85,15,6,2,35,10,35
135-W2021011-581_R1_10dpi,41.01,44.25,45,50,12,40,10,70
137-W2021006-128_R2_10dpi,91.48,91.22,90,85,90,90,100,100
137-W2021010-342_R2_5dpi,1.05,2.15,0,0,0,0,0,1
138-W2021010-446_R1_5dpi,0.45,1.66,0,0,0,0,0,0
141-W2021009-274_R1_5dpi,82.85,85.58,75,35,30,80,0,90
143-W2021010-313_R2_5dpi,0.15,0.15,0,0,0,0,0,0
146-W2021006-613_R1_10dpi,73.52,78.18,70,60,80,80,60,90
148-W2021011-462_R2_5dpi,22.26,24.66,12,6,0,35,0,30
149-W2021010-417_R1_5dpi,8.13,8.11,5,5,3,12,5,10
149-W2021011-462_R1_10dpi,82.56,87.18,75,50,30,70,0,90
151-W2021011-479_R2_10dpi,97.27,99.2,95,90,55,90,90,100
152-W2021010-301_R2_10dpi,0.68,0.27,0,0,0,0,0,0
152-W2021011-479_R1_10dpi,41.16,45.13,55,45,30,40,45,55
154-W2021010-419_R1_5dpi,0.44,0.59,0,0,0,0,0,0
154-W2021010-419_R2_10dpi,0.48,1.75,0,0,0,0,0,0
155-W2021011-639_R1_5dpi,2.15,2.92,2,2,1,3,0,5
156-W2021009-276_R2_5dpi,4.12,6.86,10,4,1,7,0,6
158-W2021006-114_R1_5dpi,44.28,45.3,82,40,24,85,90,80
162-W2021011-551_R2_10dpi,82.58,84.13,75,70,50,75,85,90
166-W2021006-123_R1_10dpi,0.65,0.83,0,0,0,0,0,0
166-W2021006-146_R1_10dpi,52.85,53.36,50,40,30,50,45,70
166-W2021006-146_R2_10dpi,12.7,13.77,5,16,0,16,0,15
167-W2021006-003_R2_5dpi,2.63,3.38,0,1,1,8,0,3
169-W2021009-623_R2_5dpi,76.45,79.09,80,60,40,75,80,98
169-W2021011-477_R1_5dpi,31.66,32.87,55,50,15,40,50,75
171-W2021011-584_R1_10dpi,65.72,70.43,60,60,30,70,45,85
171-W2021011-584_R2_10dpi,99.02,98.74,95,92,90,95,95,100
172-W2021009-156_R2_10dpi,3.96,6.05,5,5,1,3,0,10
172-W2021011-557_R2_5dpi,7.35,8.5,20,8,2,31,0,20
173-W2021006-127_R2_5dpi,0.73,1.76,0,1,1,5,0,1
174-W2021009-156_R2_5dpi,9.55,10.72,5,3,1,10,0,25
176-W2021009-256_R2_10dpi,2.04,4.11,0,0,0,5,0,4
176-W2021009-256_R2_5dpi,0.42,1.26,0,1,0,2,0,1
177-W2021009-194_R1_5dpi,5.73,7.2,5,3,0,7,0,12
177-W2021009-194_R2_10dpi,84.49,87.6,85,60,30,75,90,95
177-W2021009-256_R1_10dpi,4.13,4.76,2,5,0,5,0,15
180-W2021009-152_R1_5dpi,12.79,17.01,5,3,1,30,0,10
