"","filename","Jan22_10-21-00_2026_up0.95_dwn0.3_infg0.3_spth0.5_salth0.5_computer_vision","Jan22_10-21-00_2026_up0.95_dwn0.3_infg0.3_spth0.7_salth0.7_computer_vision","Jan26_23-15-35_2026_up0.95_dwn0.3_infg0.3_spth0.5_salth0.5_computer_vision","Jan29_22-02-46_2026_up0.55_dwn0.15_infg0.3_spth0.65_salth0.5_computer_vision","BR_human","CC_human","DG_human","MW_human","NW_human","TB_human"
"1","001-W2021006-099_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"2","003-W2021006-150_R1_10dpi",0,0,0,0,0,0,0,0,0,0
"3","004-NUGGET_R2_10dpi",27.0676691729323,27.190332326284,27.2592592592593,26.2463343108504,40,30,7,30,25,25
"4","012-W2021011-458_R2_10dpi",0,0,0.148148148148148,0,0,0,0,0,0,0
"5","013-W2021009-172_R1_10dpi",0.308641975308642,0.308166409861325,0.599700149925038,0.611620795107034,3,2,1,5,0,3
"6","013-W2021011-633_R2_10dpi",12.6717557251908,12.3664122137405,14.9925037481259,13.1268436578171,10,15,3,15,20,20
"7","015-W2021010-355_R2_10dpi",0,0,0,0,0,0,0,0,0,3
"8","017-W2021010-405_R2_10dpi",0,0,0.144508670520231,0.288184438040346,0,0,0,0,0,0
"9","018-W2021010-405_R1_10dpi",0,0,0.151975683890578,0,0,0,0,0,0,0
"10","018-W2021010-405_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"11","025-W2021009-622_R1_10dpi",66.6666666666667,66.7678300455235,65.9125188536953,63.4873323397914,70,50,50,65,75,70
"12","026-W2021010-346_R2_10dpi",0.137741046831956,0.137741046831956,0,0,0,0,0,0,0,2
"13","027-W2021009-622_R2_10dpi",31.6614420062696,31.3880126182965,32.03125,31.1248073959938,40,25,10,55,35,45
"14","028-W2021010-354_R2_10dpi",13.0970724191063,12.8682170542636,13.5670731707317,12.0845921450151,10,20,4,11,20,15
"15","029-W2021010-354_R1_10dpi",14.1509433962264,13.9020537124803,15.6606851549755,14.4904458598726,20,30,9,20,20,30
"16","037-W2021009-198_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"17","037-W2021009-277_R1_10dpi",77.3710482529118,76.8976897689769,77.3026315789474,76.0726072607261,60,60,40,70,75,80
"18","042-W2021006-015_R1_10dpi",0.326797385620915,0.33003300330033,0.486223662884927,0.313971742543171,0,0,0,2,0,2
"19","046-W2021009-208_R2_10dpi",1.07361963190184,1.0752688172043,1.21765601217656,1.05263157894737,1,2,1,2,8,4
"20","049-W2021011-583_R1_10dpi",14.3074581430746,13.984962406015,15.5763239875389,14.6969696969697,10,20,6,16,0,15
"21","051-W2021010-443_R1_10dpi",0,0,0,0.139664804469274,0,0,0,0,0,0
"22","051-W2021011-583_R1_10dpi",62.7423822714681,62.0879120879121,63.0853994490358,62.3465211459754,50,60,30,60,75,65
"23","051-W2021011-583_R2_10dpi",10.1813110181311,10.1813110181311,11.8055555555556,10.8071135430917,3,20,5,25,20,30
"24","057-W2021011-504_R2_10dpi",0.474683544303797,0.477707006369427,0.797448165869218,0.46801872074883,0,0,0,0,0,0
"25","061-W2021011-483_R1_10dpi",0.172711571675302,0.174216027874564,0.350262697022767,0.162337662337662,1,2,1,2,0,0
"26","062-W2021010-432_R2_10dpi",19.2307692307692,18.3870967741935,21.4285714285714,20.3100775193798,10,20,18,15,20,21
"27","062-W2021011-483_R2_10dpi",28.1972265023112,27.4268104776579,29.2758089368259,27.7862595419847,25,20,20,30,25,30
"28","063-W2021011-594_R1_10dpi",26.6536964980545,26.7578125,25.8687258687259,25.7197696737044,25,30,10,40,15,20
"29","068-W2021011-574_R2_10dpi",10.7309486780715,10.5015673981191,11.1975116640746,10.7088989441931,10,15,9,15,15,15
"30","069-W2021011-574_R1_10dpi",5.13595166163142,4.8048048048048,5.26315789473684,4.95495495495495,5,10,3,10,10,7
"31","071-W2021006-142_R1_10dpi",5.74534161490683,5.12422360248447,8.6342229199372,7.09010339734121,5,10,12,35,5,40
"32","080-W2021011-586_R2_10dpi",78.8770053475936,78.1041388518024,80.0268096514745,76.7068273092369,85,70,80,75,80,90
"33","088-W2021009-288_R2_10dpi",77.8085991678225,77.5933609958506,79.9442896935933,78.5615491009682,90,70,80,88,80,90
"34","091-W2021010-394_R2_10dpi",0.137741046831956,0.139082058414465,0.269541778975741,0.134952766531714,0,0,0,0,0,0
"35","092-W2021010-394_R1_10dpi",0,0.170357751277683,0.180505415162455,0.172117039586919,0,0,0,0,0,0
"36","095-W2021009-283_R1_10dpi",0.352112676056338,0.348432055749129,0.354609929078014,1.25,0,0,0,0,0,0
"37","097-W2021006-126_R2_10dpi",70.6896551724138,70.995670995671,72.0116618075802,70.7317073170732,70,50,40,60,70,70
"38","097-W2021006-611_R1_10dpi",84.1726618705036,83.4829443447038,85.5595667870036,83.4829443447038,90,60,50,99,100,95
"39","098-W2021006-126_R1_10dpi",55,54.7864506627393,57.6980568011958,57.4344023323615,40,40,35,45,50,50
"40","099-W2021006-611_R2_10dpi",11.5615615615616,11.3981762917933,12.2418879056047,12.7324749642346,5,10,2,15,10,15
"41","102-W2021011-565_R2_10dpi",67.4565560821485,67.6190476190476,69.9523052464229,67.3405909797823,50,55,50,60,80,60
"42","103-W2021011-591_R2_10dpi",20.96,20.5414012738854,21.0691823899371,20.1574803149606,30,30,20,25,40,20
"43","105-W2021010-625_R1_10dpi",8.84244372990354,8.72374798061389,11.6504854368932,9.89010989010989,10,15,10,20,10,30
"44","108-W2021011-550_R2_10dpi",6.70731707317073,6.7175572519084,6.34441087613293,6.42750373692078,8,20,4,8,15,9
"45","109-W2021006-102_R2_10dpi",88.4615384615385,88.2030178326475,89.2413793103448,89.3793103448276,90,70,80,85,80,93
"46","112-W2021006-046_R1_10dpi",0,0,0,0,0,1,0,0,0,1
"47","112-W2021011-554_R1_10dpi",4.00616332819723,4.02476780185759,4.10958904109589,4,3,10,3,3,10,10
"48","115-W2021011-638_R1_10dpi",19.1387559808612,18.2527301092044,20.1907790143084,18.7214611872146,25,20,6,55,25,60
"49","116-W2021011-504_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"50","117-W2021011-504_R1_10dpi",0,0,1.0233918128655,0,0,0,0,0,0,0
"51","119-W2021009-171_R2_10dpi",1.81818181818182,1.46818923327896,2.8006589785832,2.02808112324493,1,2,0,1,0,5
"52","119-W2021009-299_R2_10dpi",29.0015847860539,28.0254777070064,30.7568438003221,28.0701754385965,30,25,10,30,0,35
"53","122-W2021009-267_R2_10dpi",0.147492625368732,0.148148148148148,0.144092219020173,0.297619047619048,0,0,0,0,0,0
"54","124-W2021009-278_R1_10dpi",15.6302521008403,15.2428810720268,16.2988115449915,15.3078202995008,30,20,5,25,25,30
"55","126-W2021009-278_R2_10dpi",16.3503649635037,16.1527165932452,16.3265306122449,15.3061224489796,25,20,15,35,25,20
"56","131-W2021009-252_R2_10dpi",0.498338870431894,0.665557404326123,0.833333333333333,0.838926174496644,0,1,0,1,0,2
"57","132-W2021009-252_R1_10dpi",0.154320987654321,0.154083204930663,0.152439024390244,0.154320987654321,0,0,0,1,0,0
"58","135-W2021011-581_R1_10dpi",11.8032786885246,11.0749185667752,12.9084967320261,11.5015974440895,5,20,3,30,0,30
"59","137-W2021006-128_R2_10dpi",69.219440353461,68.5376661742984,69.3098384728341,64.8609077598829,55,60,60,80,90,95
"60","146-W2021006-613_R1_10dpi",18.5126582278481,17.5355450236967,27.9293739967897,21.2257100149477,50,15,60,35,40,80
"61","149-W2021011-462_R1_10dpi",20.5211726384365,19.8373983739837,19.84,19.4620253164557,5,10,5,20,0,30
"62","151-W2021011-479_R2_10dpi",87.7777777777778,88.0763116057234,90.2086677367576,89.171974522293,85,70,35,75,80,85
"63","152-W2021010-301_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"64","152-W2021011-479_R1_10dpi",16.1949685534591,16.0629921259843,17.8403755868545,17.2955974842767,25,25,10,25,35,25
"65","154-W2021010-419_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"66","162-W2021011-551_R2_10dpi",56.6666666666667,56.5406976744186,59.5900439238653,56.2770562770563,45,45,25,60,75,60
"67","166-W2021006-123_R1_10dpi",0,0,0.650406504065041,0.666666666666667,0,0,0,0,0,0
"68","166-W2021006-146_R1_10dpi",35.3383458646617,34.8872180451128,36.6366366366366,37.5186846038864,40,30,20,40,45,40
"69","166-W2021006-146_R2_10dpi",1.35746606334842,1.34932533733133,2.06794682422452,1.72166427546628,1,1,0,8,0,5
"70","171-W2021011-584_R1_10dpi",18.1277860326894,17.5257731958763,20.5663189269747,18.5507246376812,20,30,10,30,30,45
"71","171-W2021011-584_R2_10dpi",49.6473906911142,48.8011283497884,56.4425770308123,51.7482517482517,80,42,30,85,90,50
"72","172-W2021009-156_R2_10dpi",0.178571428571429,0.178890876565295,0.18018018018018,0.177935943060498,0,0,0,2,0,1
"73","176-W2021009-256_R2_10dpi",0,0,0,0,0,0,0,2,0,1
"74","177-W2021009-194_R2_10dpi",52.8239202657807,52.8925619834711,54.950495049505,53.4621578099839,50,35,15,60,60,55
"75","177-W2021009-256_R1_10dpi",0.623052959501558,0.47244094488189,0.764525993883792,0.768049155145929,1,1,0,1,0,5
"76","181-W2021009-251_R2_10dpi",0.17921146953405,0.179533213644524,0.179856115107914,0,0,0,0,1,0,2
"77","181-W2021009-295_R2_10dpi",1.51975683890578,1.53139356814701,2.44648318042813,1.32352941176471,0,1,1,3,0,5
"78","182-W2021009-251_R1_10dpi",0.725689404934688,0.43859649122807,1.17130307467057,0.730994152046784,3,2,0,3,5,7
"79","184-W2021009-199_R1_10dpi",2.84697508896797,2.67857142857143,4.25531914893617,3.65217391304348,5,5,1,3,8,10
"80","189-W2021009-257_R2_10dpi",95.8452722063037,95.5587392550143,96.7048710601719,95.5587392550143,100,50,45,98,100,98
"81","190-W2021010-449_R1_10dpi",10.0436681222707,9.57290132547865,10.4734576757532,9.27246790299572,7,10,5,20,35,20
"82","192-W2021010-449_R2_10dpi",42.6100628930818,41.9906687402799,44.0251572327044,41.8856259659969,30,25,15,25,30,45
"83","193-W2021010-415_R1_10dpi",0.32051282051282,0.323101777059774,0.605143721633888,0.151285930408472,0,0,0,0,0,0
"84","194-W2021010-339_R2_10dpi",0,0,0,0,0,0,0,0,0,0
"85","206-W2021009-271_R2_10dpi",38.3928571428571,37.8338278931751,40.9495548961424,37.2781065088757,35,30,12,25,50,35
"86","207-W2021009-271_R1_10dpi",16.793893129771,16.6666666666667,17.4573055028463,17.196261682243,15,25,6,13,20,25
"87","207-W2021009-287_R1_10dpi",0,0,0,0,0,0,0,0,0,0
"88","209-W2021010-439_R2_10dpi",9.41558441558442,9.07617504051864,10.9656301145663,10.0813008130081,10,5,5,15,0,20
"89","214-W2021006-045_R2_10dpi",4.73186119873817,4.44444444444444,5.320813771518,5.04731861198738,2,5,3,3,15,6
"90","215-W2021006-045_R1_10dpi",23.68,24.0322580645161,26.4516129032258,23.9302694136292,25,15,10,25,33,40
"91","225-W2021010-327_R2_10dpi",45.4128440366972,45.662100456621,46.2732919254658,46.2365591397849,35,30,15,65,55,50
"92","226-W2021009-177_R1_10dpi",0,0,0,0,0,0,0,0,0,0
"93","233-W2021006-607_R1_10dpi",0.347826086956522,0.352112676056338,0.68259385665529,0.836120401337793,1,0,1,3,0,2
"94","238-W2021009-192_R1_10dpi",8.56313497822932,8.55072463768116,10.4258443465492,9.32568149210904,0,10,1,4,0,20
"95","242-W2021006-132_R2_10dpi",89.7694524495677,89.4660894660895,90.7913669064748,89.8134863701578,80,80,54,80,80,92
"96","262-W2021009-187_R2_10dpi",26.0586319218241,25.7328990228013,27.3462783171521,25.3164556962025,15,35,10,25,30,25
"97","264-W2021009-187_R1_10dpi",2.77777777777778,2.55102040816327,3.08943089430894,3.01003344481605,2,10,5,3,10,9
"98","285-W2021006-040_R2_10dpi",3.62068965517241,3.50877192982456,4.45969125214408,3.78006872852234,1,5,1,15,5,10
"99","293-W2021006-054_R1_10dpi",1.65289256198347,1.669449081803,3.2626427406199,2.56,0,2,2,2,0,15
"100","311-W2021010-326_R2_10dpi",0,0,0,0,0,0,0,0,0,0
