timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient-SG_sr2,GradCAM_sr2,Gradient_sr2
NA,0m 35s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,001-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,631,4,0,0,12,0.63,0.05,0.12,NA
NA,0m 38s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,003-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,610,22,7,1.0954616588419406,43,4.54,0.31,0.97,NA
NA,0m 50s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,004-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,30,84,297,72.26277372262774,20,92.7,8.59,23.36,NA
NA,0m 56s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,005-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,176,98,379,58.03981623277183,31,73.05,6.86,17.52,NA
NA,1m 2s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,006-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,10,121,518,79.81510015408321,8,98.46,9.74,25.88,NA
NA,0m 42s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,007-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,482,65,95,14.797507788161992,57,24.92,1.81,5.99,NA
NA,0m 44s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,008-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,493,73,138,19.602272727272727,40,29.97,2.48,7.76,NA
NA,0m 44s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,009-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,438,105,126,18.83408071748879,63,34.53,2.72,8.61,NA
NA,1m 5s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,010-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,50,34,610,87.89625360230548,21,92.8,9.21,26.78,NA
NA,0m 45s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,011-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,392,28,176,29.53020134228188,37,34.23,2.89,8.65,NA
NA,0m 46s,ResNet,Jan26_23-15-35_2026,2,10-10-2023_10dpi,2,012-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.95,0.3,0.5,0.3,0.5,0.2,521,72,96,13.933236574746008,35,24.38,2.07,6.22,NA
