timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,001-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,633,5,0,0,9,0.78,0.02,0.02,0.09
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,003-W2021006-099_R2,W2021006-099,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,604,37,3,0.4658385093167702,38,6.21,0.15,0.17,0.65
NA,1m 7s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,004-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,28,95,299,70.85308056872039,9,93.36,2.45,3.02,12.7
NA,1m 8s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,005-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,167,101,383,58.83256528417819,33,74.35,1.99,2.31,9.78
NA,1m 27s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,006-W2021009-272_R2,W2021009-272,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,11,129,515,78.62595419847328,2,98.32,2.78,3.22,13.68
NA,0m 51s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,007-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,480,85,93,14.133738601823708,41,27.05,0.68,0.78,3.29
NA,0m 54s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,008-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,491,96,132,18.35883171070932,25,31.71,0.84,0.97,4.09
NA,0m 55s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,009-W2021011-571_R2,W2021011-571,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,435,136,115,16.76384839650146,46,36.59,0.93,1.06,4.57
NA,1m 22s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,010-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,47,53,602,85.75498575498575,13,93.3,2.67,3.16,13.15
NA,0m 52s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,011-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,394,46,172,28.104575163398692,21,35.62,0.95,1.07,4.58
NA,0m 48s,ResNet,Jan29_22-02-46_2026,2,10-10-2023_10dpi,2,012-W2021011-562_R2,W2021011-562,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,520,91,89,12.714285714285714,24,25.71,0.68,0.81,3.23
