"","model","rater","n","CCC","cor","MAE","RMSE","bias"
"1","J26-severity_rate_patch","J26-severity_rate_patch",200,1,1,0,0,0
"2","J26-severity_rate_patch","J26-GradCAM_union_sr",200,0.448435750983896,0.887673801442747,19.5263,28.7817140038602,19.5263
"3","J26-severity_rate_patch","J26-Gradient-SG_union_sr",200,0.560943070229847,0.816666176329403,17.7518,26.4803320409696,17.7518
"4","J26-severity_rate_patch","J26-DeepLift_union_sr",200,0.331200152291379,0.842824042937901,21.5973,32.0123281096518,21.5973
"5","J26-severity_rate_patch","DeepLab-Feb04_00-32-07_2026",200,0.246957302326684,0.828367511884521,22.241689,33.4302248755524,21.473771
"6","J26-severity_rate_patch","J26_05_fixed_Gradient-SG_sr2",200,0.109489484480138,0.992569708099019,24.93275,37.7740957469534,24.93275
"7","J26-severity_rate_patch","J26_05_fixed_GradCAM_sr2",200,0.395564843055143,0.988374794111269,19.4926,29.4788130866899,19.4926
"8","J26-severity_rate_patch","J26_05_fixed_DeepLift_sr2",200,0.0541760293069933,0.992993467230248,26.0048,39.5163124544788,26.0048
"9","J26-GradCAM_union_sr","J26-severity_rate_patch",200,0.448435750983896,0.887673801442747,19.5263,28.7817140038602,-19.5263
"10","J26-GradCAM_union_sr","J26-GradCAM_union_sr",200,1,1,0,0,0
"11","J26-GradCAM_union_sr","J26-Gradient-SG_union_sr",200,0.91212653335389,0.981535549877197,3.0313,6.36068258915661,-1.7745
"12","J26-GradCAM_union_sr","J26-DeepLift_union_sr",200,0.940692416664009,0.983117502146801,2.0825,3.81530483710018,2.071
"13","J26-GradCAM_union_sr","DeepLab-Feb04_00-32-07_2026",200,0.822941318728149,0.963642613540955,3.632333,5.98150314971078,1.947471
"14","J26-GradCAM_union_sr","J26_05_fixed_Gradient-SG_sr2",200,0.340622975146777,0.915183623589615,5.40645,11.0513048324621,5.40645
"15","J26-GradCAM_union_sr","J26_05_fixed_GradCAM_sr2",200,0.826778605458163,0.858608023998986,3.2757,6.35383632146753,-0.0336999999999999
"16","J26-GradCAM_union_sr","J26_05_fixed_DeepLift_sr2",200,0.164350998208298,0.898287050028327,6.4785,12.6673054356481,6.4785
"17","J26-Gradient-SG_union_sr","J26-severity_rate_patch",200,0.560943070229847,0.816666176329403,17.7518,26.4803320409696,-17.7518
"18","J26-Gradient-SG_union_sr","J26-GradCAM_union_sr",200,0.91212653335389,0.981535549877197,3.0313,6.36068258915661,1.7745
"19","J26-Gradient-SG_union_sr","J26-Gradient-SG_union_sr",200,1,1,0,0,0
"20","J26-Gradient-SG_union_sr","J26-DeepLift_union_sr",200,0.809595432868467,0.994924793606819,3.849,8.91359966567941,3.8455
"21","J26-Gradient-SG_union_sr","DeepLab-Feb04_00-32-07_2026",200,0.633258443811326,0.947908599857569,5.800614,11.7033195372082,3.721971
"22","J26-Gradient-SG_union_sr","J26_05_fixed_Gradient-SG_sr2",200,0.23075385914238,0.854046978513581,7.18095,16.8456069792691,7.18095
"23","J26-Gradient-SG_union_sr","J26_05_fixed_GradCAM_sr2",200,0.627691051012939,0.768824543796874,6.0624,12.1641816000913,1.7408
"24","J26-Gradient-SG_union_sr","J26_05_fixed_DeepLift_sr2",200,0.11206984648942,0.837305037226917,8.253,18.3567531442791,8.253
"25","J26-DeepLift_union_sr","J26-severity_rate_patch",200,0.331200152291379,0.842824042937901,21.5973,32.0123281096518,-21.5973
