"","timestamp","time_elapsed","model_type","model_timestamp","classes","imaging_date","tray","filename","conserved_identifier","infected_threshold","healthy_threshold","sal_threshold","inf_gate","spor_th","leaf_mask_th","clear_patches","hyphal_patches","conidiophore_patches","sporulating_pct","discarded_patches","severity_rate_patch","Gradient-SG_inf_th","GradCAM_inf_th","DeepLift_inf_th","Gradient-SG_inf_sr","GradCAM_inf_sr","DeepLift_inf_sr","Gradient-SG_spor_th","GradCAM_spor_th","DeepLift_spor_th","Gradient-SG_spor_sr","GradCAM_spor_sr","DeepLift_spor_sr","Gradient-SG_union_sr","GradCAM_union_sr","DeepLift_union_sr","Gradient-SG_intersect_sr","GradCAM_intersect_sr","DeepLift_intersect_sr"
"1","2/5/2026 5:37","0m 26s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","002-W2021006-081_R1_5dpi","W2021006-081",0.95,0.3,0.5,0.3,0.5,0.2,654,1,2,0.304414003,18,0.46,0.5,0.7,0.4,0.01,0.02,0.01,0.1,0.2,0.1,0.2,0.11,0.17,0.22,0.13,0.18,0,0,0
"2","2/5/2026 5:38","0m 26s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","002-W2021010-336_R2_5dpi","W2021010-336",0.95,0.3,0.5,0.3,0.5,0.2,533,13,0,0,90,2.38,0.5,0.7,0.4,0.18,0.35,0.11,0.1,0.2,0.1,0,0,0,0.18,0.35,0.11,0,0,0
"3","2/5/2026 5:38","0m 27s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","005-W2021011-592_R2_5dpi","W2021011-592",0.95,0.3,0.5,0.3,0.5,0.2,708,4,0,0,3,0.56,0.5,0.7,0.4,0.05,0.09,0.04,0.1,0.2,0.1,0,0,0,0.05,0.09,0.04,0,0,0
"4","2/5/2026 5:38","0m 38s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","009-W2021010-311_R2_5dpi","W2021010-311",0.95,0.3,0.5,0.3,0.5,0.2,484,141,3,0.477707006,61,22.93,0.5,0.7,0.4,1.58,3.24,1.31,0.1,0.2,0.1,0.37,0.17,0.18,1.95,3.42,1.49,0,0,0
"5","2/5/2026 5:39","0m 39s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","010-W2021010-347_R2_5dpi","W2021010-347",0.95,0.3,0.5,0.3,0.5,0.2,482,123,17,2.733118971,42,22.51,0.5,0.7,0.4,1.46,2.97,1.47,0.1,0.2,0.1,1.99,0.98,0.98,3.45,3.94,2.44,0,0,0
"6","2/5/2026 5:40","0m 26s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","013-W2021009-172_R2_5dpi","W2021009-172",0.95,0.3,0.5,0.3,0.5,0.2,674,1,0,0,6,0.15,0.5,0.7,0.4,0.01,0.04,0.01,0.1,0.2,0.1,0,0,0,0.01,0.04,0.01,0,0,0
"7","2/5/2026 5:40","0m 37s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","015-W2021009-160_R1_5dpi","W2021009-160",0.95,0.3,0.5,0.3,0.5,0.2,455,113,1,0.175746924,94,20.04,0.5,0.7,0.4,1.26,2.72,1.1,0.1,0.2,0.1,0.13,0.04,0.02,1.39,2.76,1.11,0,0,0
"8","2/5/2026 5:41","0m 38s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","015-W2021011-633_R1_5dpi","W2021011-633",0.95,0.3,0.5,0.3,0.5,0.2,592,97,0,0,43,14.08,0.5,0.7,0.4,1.17,2.26,0.98,0.1,0.2,0.1,0,0,0,1.17,2.26,0.98,0,0,0
"9","2/5/2026 5:41","0m 44s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","017-W2021006-612_R2_5dpi","W2021006-612",0.95,0.3,0.5,0.3,0.5,0.2,377,153,0,0,45,28.87,0.5,0.7,0.4,2.28,4.41,2.13,0.1,0.2,0.1,0,0,0,2.28,4.41,2.13,0,0,0
"10","2/5/2026 5:42","0m 26s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","019-W2021010-428_R2_5dpi","W2021010-428",0.95,0.3,0.5,0.3,0.5,0.2,634,0,0,0,5,0,0.5,0.7,0.4,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0
"11","2/5/2026 5:43","0m 27s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","021-W2021009-175_R1_5dpi","W2021009-175",0.95,0.3,0.5,0.3,0.5,0.2,682,8,1,0.1447178,11,1.3,0.5,0.7,0.4,0.1,0.18,0.06,0.1,0.2,0.1,0.09,0.03,0.04,0.19,0.22,0.1,0,0,0
"12","2/5/2026 5:43","0m 32s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","022-W2021009-198_R2_5dpi","W2021009-198",0.95,0.3,0.5,0.3,0.5,0.2,552,39,0,0,122,6.6,0.5,0.7,0.4,0.56,1.01,0.44,0.1,0.2,0.1,0,0,0,0.56,1.01,0.44,0,0,0
"13","2/5/2026 5:44","0m 38s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","023-W2021006-049_R1_5dpi","W2021006-049",0.95,0.3,0.5,0.3,0.5,0.2,450,92,0,0,98,16.97,0.5,0.7,0.4,1.1,2.33,0.95,0.1,0.2,0.1,0,0,0,1.1,2.33,0.95,0,0,0
"14","2/5/2026 5:44","0m 31s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","023-W2021010-305_R2_5dpi","W2021010-305",0.95,0.3,0.5,0.3,0.5,0.2,578,35,0,0,26,5.71,0.5,0.7,0.4,0.37,0.74,0.35,0.1,0.2,0.1,0,0,0,0.37,0.74,0.35,0,0,0
"15","2/5/2026 5:45","0m 46s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","026-W2021009-622_R2_5dpi","W2021009-622",0.95,0.3,0.5,0.3,0.5,0.2,531,123,1,0.152671756,52,18.93,0.5,0.7,0.4,1.48,2.69,1.27,0.1,0.2,0.1,0.11,0.04,0.03,1.59,2.74,1.3,0,0,0
"16","2/5/2026 5:46","0m 35s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","032-W2021006-041_R2_5dpi","W2021006-041",0.95,0.3,0.5,0.3,0.5,0.2,668,45,3,0.418994413,30,6.7,0.5,0.7,0.4,0.43,0.92,0.42,0.1,0.2,0.1,0.3,0.23,0.18,0.73,1.15,0.6,0,0,0
"17","2/5/2026 5:46","2m 18s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","032-W2021009-155_R1_5dpi","W2021009-155",0.95,0.3,0.5,0.3,0.5,0.2,97,555,8,1.212121212,57,85.3,0.5,0.7,0.4,7.25,14.9,5.02,0.1,0.2,0.1,0.87,0.36,0.43,8.13,15.25,5.45,0,0,0
"18","2/5/2026 5:48","0m 27s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","036-W2021006-047_R2_5dpi","W2021006-047",0.95,0.3,0.5,0.3,0.5,0.2,668,3,0,0,5,0.45,0.5,0.7,0.4,0.03,0.08,0.03,0.1,0.2,0.1,0,0,0,0.03,0.08,0.03,0,0,0
"19","2/5/2026 5:49","0m 50s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","040-W2021009-207_R1_5dpi","W2021009-207",0.95,0.3,0.5,0.3,0.5,0.2,491,111,0,0,71,18.44,0.5,0.7,0.4,1.12,2.38,1,0.1,0.2,0.1,0,0,0,1.12,2.38,1,0,0,0
"20","2/5/2026 5:50","1m 36s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","042-W2021010-429_R1_5dpi","W2021010-429",0.95,0.3,0.5,0.3,0.5,0.2,355,296,0,0,63,45.47,0.5,0.7,0.4,3.85,6.87,3.31,0.1,0.2,0.1,0,0,0,3.85,6.87,3.31,0,0,0
"21","2/5/2026 5:51","0m 26s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","044-W2021009-169_R2_5dpi","W2021009-169",0.95,0.3,0.5,0.3,0.5,0.2,663,1,0,0,6,0.15,0.5,0.7,0.4,0.01,0.02,0.01,0.1,0.2,0.1,0,0,0,0.01,0.02,0.01,0,0,0
"22","2/5/2026 5:52","0m 49s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","044-W2021009-618_R1_5dpi","W2021009-618",0.95,0.3,0.5,0.3,0.5,0.2,549,90,2,0.31201248,33,14.35,0.5,0.7,0.4,1.11,2.07,1.06,0.1,0.2,0.1,0.18,0.15,0.15,1.29,2.22,1.21,0,0,0
"23","2/5/2026 5:53","1m 15s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","047-W2021011-482_R1_5dpi","W2021011-482",0.95,0.3,0.5,0.3,0.5,0.2,413,186,5,0.82781457,55,31.62,0.5,0.7,0.4,2.64,4.93,2.23,0.1,0.2,0.1,0.64,0.29,0.34,3.27,5.22,2.58,0,0,0
"24","2/5/2026 5:54","0m 28s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","048-W2021006-147_R1_5dpi","W2021006-147",0.95,0.3,0.5,0.3,0.5,0.2,430,18,0,0,17,4.02,0.5,0.7,0.4,0.31,0.64,0.37,0.1,0.2,0.1,0,0,0,0.31,0.64,0.37,0,0,0
"25","2/5/2026 5:54","0m 25s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","052-W2021006-004_R2_5dpi","W2021006-004",0.95,0.3,0.5,0.3,0.5,0.2,603,0,0,0,11,0,0.5,0.7,0.4,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0
"26","2/5/2026 5:55","0m 27s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","055-W2021010-341_R2_5dpi","W2021010-341",0.95,0.3,0.5,0.3,0.5,0.2,633,7,0,0,22,1.09,0.5,0.7,0.4,0.09,0.2,0.09,0.1,0.2,0.1,0,0,0,0.09,0.2,0.09,0,0,0
"27","2/5/2026 5:55","0m 35s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","055-W2021010-397_R2_5dpi","W2021010-397",0.95,0.3,0.5,0.3,0.5,0.2,631,33,0,0,30,4.97,0.5,0.7,0.4,0.36,0.74,0.38,0.1,0.2,0.1,0,0,0,0.36,0.74,0.38,0,0,0
"28","2/5/2026 5:56","0m 42s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","056-W2021006-609_R1_5dpi","W2021006-609",0.95,0.3,0.5,0.3,0.5,0.2,594,60,1,0.152671756,33,9.31,0.5,0.7,0.4,0.63,1.44,0.62,0.1,0.2,0.1,0.1,0.08,0.05,0.73,1.52,0.67,0,0,0
"29","2/5/2026 5:57","0m 27s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","059-W2021010-434_R1_5dpi","W2021010-434",0.95,0.3,0.5,0.3,0.5,0.2,683,3,1,0.145560408,42,0.58,0.5,0.7,0.4,0.04,0.06,0.05,0.1,0.2,0.1,0.1,0.05,0.08,0.14,0.11,0.12,0,0,0
"30","2/5/2026 5:57","0m 27s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","060-W2021010-324_R2_5dpi","W2021010-324",0.95,0.3,0.5,0.3,0.5,0.2,659,2,0,0,16,0.3,0.5,0.7,0.4,0.02,0.06,0.02,0.1,0.2,0.1,0,0,0,0.02,0.06,0.02,0,0,0
"31","2/5/2026 5:58","0m 31s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","061-W2021011-483_R1_5dpi","W2021011-483",0.95,0.3,0.5,0.3,0.5,0.2,607,20,0,0,55,3.19,0.5,0.7,0.4,0.19,0.38,0.16,0.1,0.2,0.1,0,0,0,0.19,0.38,0.16,0,0,0
"32","2/5/2026 5:58","1m 12s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","070-W2021011-486_R2_5dpi","W2021011-486",0.95,0.3,0.5,0.3,0.5,0.2,307,165,4,0.840336134,38,35.5,0.5,0.7,0.4,2.78,5.3,2.91,0.1,0.2,0.1,0.61,0.29,0.34,3.39,5.59,3.25,0,0,0
"33","2/5/2026 5:59","2m 15s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","071-W2021010-323_R1_5dpi","W2021010-323",0.95,0.3,0.5,0.3,0.5,0.2,224,348,11,1.886792453,66,61.58,0.5,0.7,0.4,5.11,9.61,4,0.1,0.2,0.1,1.41,0.63,0.57,6.52,10.24,4.58,0,0,0
"34","2/5/2026 6:01","0m 26s","ResNet","Jan26_23-15-35_2026",2,"1/22/2026","5dpi","077-W2021010-351_R2_5dpi","W2021010-351",0.95,0.3,0.5,0.3,0.5,0.2,643,1,0,0,19,0.16,0.5,0.7,0.4,0.03,0.03,0.01,0.1,0.2,0.1,0,0,0,0.03,0.03,0.01,0,0,0
